OBJECTID,FIXED_PHARMACY,FIXED_ADDRESS,ZIPCODE,PHONE,HPV,T_DAP,OTHERS_BY_REQUEST,MENINGITIS,PNEUMOCOCCAL,WHOOPING_COUGH,TETANUS,MMR,PNEUMONIA,SHINGLES,INFLUENZA,HEPATITIS_A,HEPATITIS_B,NALOXONE_PROVIDER,INTRANASAL_NALOXONE,NALOXONE_INJECTOR,NALOXONE_TABLET,TOBACCO
15,Acme Sav-on Pharmacy,1400 E PASSYUNK AVE,19147,(215) 551-3321,,YES,,,,YES,,,,,YES,,,YES,YES,,,
16,ACME SAV-ON PHARMACY,7010 GERMANTOWN AVE,19119,(215) 247-4995,,,,YES,,,,,YES,YES,YES,YES,,YES,YES,,,
17,ACME SAV-ON PHARMACY,5927 RIDGE AVE,19128,(215) 487-3419,,,,YES,,,,,YES,YES,YES,YES,,YES,YES,,,
18,AHF Pharmacy,1211 CHESTNUT ST,19107,(215) 971-2808,,,,,,,,,,,,,,YES,YES,,,
19,ACME SAV-ON PHARMACY,8200 ROOSEVELT BLVD,19152,(215) 338-4967,,,YES,,,,YES,,,,YES,,,YES,YES,,,
20,Allegheny Apothecary,2244 E ALLEGHENY AVE,19134,(215) 203-0194,,,,,,,,,,,,,,YES,YES,,,
21,Allegheny Discount Pharmacy,2704 W ALLEGHENY AVE,19132,(267)758-2991,,,,,,,,,,,,,,YES,YES,,,
22,ARCH PHARMACY,933 ARCH ST,19107,(215) 925-9666,,,,,,,,,,,,,,YES,YES,,,
23,APOLLO PHARMACY,460 W LEHIGH AVE,19133,,,,YES,,,,,,,,,,,,,,,
24,Aspire Pharmacy,4307 LOCUST ST,19104,(215) 883-0332,,,,,,,,,,,,,,YES,YES,YES,,
25,AV Pharmacy,3237 KENSINGTON AVE,19134,(215) 760-0452,,,,,,,,,,,,,,YES,YES,,,
26,B & A Pharmacy,3138 N BROAD ST,19132,(215) 309-5701,,,,,,,,,,,,,,YES,YES,,,
27,"BELL APOTHECARY, INC.",4014 LANCASTER AVE,19104,(215) 387-9100,,,,,,,,,,,,,,YES,YES,,,
28,Bell-Edge Pharmacy,5401 CHESTER AVE,19143,(215) 729-4139,,,,,,,,,,,,,,YES,YES,,,
29,Bells Market Pharmacy,8330 BUSTLETON AVE,19152,(215) 342-6016,,,,,,,,,,,,,,YES,YES,,,
30,Bertolino's Pharmacy,1500 S 12TH ST,19147,(215) 389-5917,,,,,,,,,,,,,,YES,YES,,,
31,Bluegrass Pharmacy,2417 WELSH RD,19114,(215) 676-7650,,,,,,,,,,,,,,YES,YES,,,
32,Best Care Pharmacy,257 N 52ND ST,19139,(267) 292-5011,,,,,,,,,,,,,,YES,YES,,,
33,Bridesburg Pharmacy,2608 ORTHODOX ST,19137,(215) 744-2277,,,,,,,,,,,,,,YES,YES,,,
34,Brewerytown RX Pharmacy,2621 W GIRARD AVE,19130,(267) 773-8349,,,,,,,,,,,,,,YES,YES,,,
35,"Bright Medical Technology Inc., Pharmacy",2020 NAPFLE ST,19152,(215) 725-6337,,,,,,,,,,,,,,YES,YES,,,
36,BROAD & GRANGE PHARMACY,5751 N BROAD ST,19141,(215) 424-2611,,,,,,,,,,,,,,YES,YES,,,
37,Broad & Lehigh Pharmacy,1300 W LEHIGH AVE,19132,(215) 228-9007,,,,,,,,,,,YES,,,YES,YES,,,
38,BROAD ST. APOTHECARY,2426 S BROAD ST,19145,(215) 551-9485,,,,,,,,,,,,,,YES,YES,,,
39,Broad Street Family Pharmacy,1416 S BROAD ST,19146,(215) 755-2010,,,,,,,,,,,,,,YES,YES,,,
40,Bucks Philadelphia Medical Care Group,10745 HALDEMAN AVE,19116,(215)947-6238,,,,,,,,,,,,,,YES,YES,,,
41,Cambria Pharmacy,2860 N 5TH ST,19133,(215) 225-2886,,,,,,,,,,,,,,YES,YES,,,
42,Buena Salud Pharmacy,3119 FRANKFORD AVE,19134,(215) 426-5181,,,,,,,,,,,,,,YES,YES,,,
43,Cambria Pharmacy,2900 GERMANTOWN AVE,19133,(215) 229-6454,,,YES,,,,,,,,,,,YES,YES,,,
44,Cambria Pharmacy,3169 N 5TH ST,19133,(215) 425-6869,,,,,,,,,,,,,,YES,YES,,,
45,Campus Pharmacy,4027 MARKET ST,19104,(215) 921-5660,,,,,,,,,,,,,,YES,YES,,,
46,Care Plus Pharmacy,110 W SUSQUEHANNA AVE,19122,(215) 279-7295,,,,,,,,,,,,,,YES,YES,,,
47,Care Trust Pharmacy,2534 E ALLEGHENY AVE,19134,(215) 426-0200,,,,,,,,,,,,,,YES,YES,,,
48,Caribbean Pharmacy,3825 N 5TH ST,19140,(215) 278-7711,,,,,,,,,,,,,,YES,YES,,,
49,Carecenter Pharmarcy LLC,34TH ST AND CIVIC CENTER BLVD,19104,(215) 823-6993,,,,,,,,,,,,,,YES,YES,,,
50,Caring Pharmacy,2541 KENSINGTON AVE,19125,(215) 739-9975,,,,,,,,,,,,,,YES,YES,,,
51,CENTENNIAL PHARMACY,2660 LEFEVRE ST,19137,(215) 535-4111,,YES,YES,,,,,,,YES,YES,,,YES,YES,,,
52,CASTOR AVE & SURGICAL PHARMACY,6449 CASTOR AVE,19149,(267) 233-1758,,,,,,,,,,,,,,YES,YES,,,
53,Centennial Pharmacy South Philly,2036 S 3RD ST,19148,(215) 468-2111,,,,,,,,,,,,,,YES,YES,,,
54,CENTENNIAL PHARMACY,843 S 2ND ST,19147,,,,YES,,,,,,,YES,YES,,,,,,,
55,CHELTEN DRUG STORE,2137 E CHELTEN AVE,19138,(215) 548-5223,,,,,,,,,,,,,,YES,YES,,,
56,CIRCLE PHARMACY,2853 HOLME AVE,19152,(215) 677-1111,,,,,,,,,,,,,,YES,YES,,,
57,CENTER PHARMACY ,516 W ERIE AVE,19140,(215) 225-0998,,,,,,,,,,,,,,YES,YES,,,
58,CITIMED PHARMACY,7606 OGONTZ AVE,19150,(215) 224-7100,,,,,,,,,,,,,,YES,YES,,,
59,Community Care RX,7601 CASTOR AVE Suite 200,19152,(215) 722-3400,,,,,,,,,,,,,,YES,YES,,,
60,Community Care RX,7601 CASTOR AVE Suite 201,19152,(215) 722-2500,,,,,,,,,,,,,,YES,YES,,,
61,CROWN DRUGS,6519 FRANKFORD AVE,19135,(215) 624-4224,,,,,,,,,,,,,,YES,YES,,,
62,CVS Pharmacy,11000 ROOSEVELT BLVD #3,19116,(215) 305-0001,,,,,,,,,,,,,,YES,YES,YES,,
63,Contract Pharmacy Services-pph,6500 TABOR AVE,19111,(215) 214-6608,,,,,,,,,,,,,,YES,YES,,,
64,Cure Discount Pharmacy,2310 N BROAD ST,19132,(215) 223-5700,,,,,,,,,,,,,,YES,YES,,,
65,CVS Pharmacy,7162 RIDGE AVE,19128,(215) 483-2124,,,,,,,,,,,,,,YES,YES,,,
66,CVS Pharmacy,7219 RIDGE AVE Domino Lane N,19128,(215) 483-4180,,,,,,,,,,,,,,YES,YES,,,
67,CVS Pharmacy,1 MIFFLIN ST,19148,(215) 463-3301,,,,,,,,,,,,,,YES,YES,,,
68,CVS Pharmacy,1001 WASHINGTON AVE,19147,(215) 755-7803,,,,,,,,,,,,YES,YES,YES,YES,,,
69,CVS Pharmacy,1046 MARKET ST,19107,(215) 592-1543,,YES,,,,,,,,,YES,,,YES,YES,,,
70,CVS Pharmacy,1051 SOUTH ST,19147,(215) 829-0670,,YES,,,,,,,YES,YES,YES,YES,YES,YES,YES,,,
71,CVS Pharmacy,10901 BUSTLETON AVE,19116,(215) 677-2122,,,,,,,,,,,,,,YES,YES,,,
72,CVS Pharmacy,1117 WALNUT ST,19107,(215) 627-2143,,,,,,,,,,,,,,YES,YES,,,
73,CVS Pharmacy,1301 RHAWN ST,19111,(215) 342-1445,,,,,,,,,,,,YES,,YES,YES,,,
74,CVS Pharmacy,1424 CHESTNUT ST,19102,(215) 963-9316,YES,YES,,,,,,,,YES,YES,,YES,YES,YES,,,
75,CVS Pharmacy,1500 SPRUCE ST,19102,(215) 790-3290,,,YES,,,,,,,,YES,YES,YES,YES,YES,,,
76,CVS Pharmacy,1405 S 10TH ST,19147,(215) 465-2130,YES,YES,,YES,,,,,YES,YES,YES,YES,YES,YES,YES,,,
77,CVS Pharmacy,15500 BUSTLETON AVE,19116,(215) 677-8593,,YES,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,,,
78,CVS Pharmacy,1600 WADSWORTH AVE,19150,(215) 836-1323,,,,,,,,,,,,,,YES,YES,,,
79,CVS Pharmacy,1826 CHESTNUT ST,19103,(215) 972-0909,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
80,CVS Pharmacy,1919 MARKET ST,19103,(215) 665-8072,,,,,,,,,,,,YES,YES,YES,YES,,,
81,CVS Pharmacy,1901 W OREGON AVE,19145,(215) 551-8265,,,,,,,,,,,,,YES,YES,YES,YES,,
82,CVS Pharmacy,2320 FAIRMOUNT AVE,19130,(215) 232-5262,,YES,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,
83,CVS Pharmacy,2400 ARAMINGO AVE,19125,(215) 291-8315,,YES,,,YES,,,,,,YES,YES,YES,YES,YES,,,
84,CVS Pharmacy,2450 SHOPPERS LN,19150,(267)-628-3281,,,,,,,,,,,,,,YES,YES,,,
85,CVS Pharmacy,259 MARKET ST,19106,(215) 625-3740,,,,YES,,,,,,YES,YES,,YES,YES,YES,,,
86,CVS Pharmacy,2701 CASTOR AVE,19134,(215) 305-9051,,,,,,,,,,,,,,YES,YES,YES,,
87,CVS PHARMACY,2123 N BROAD ST,,,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,,,,,
88,CVS Pharmacy,3300 S BROAD ST,19145,(215) 463-0891,,YES,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,,,
89,CVS Pharmacy,3401 CIVIC CENTER BLVD,19104,(215) 823-6993,,,,,,,,,,,,,,YES,YES,,,
90,CVS Pharmacy,3331 GRANT AVE,19114,(215) 464-2636,,YES,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,,,
91,CVS Pharmacy,3401 WALNUT ST,19104,(215) 662-1333,,YES,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,,,
92,CVS Pharmacy,3780 MAIN ST,19127,(215) 508-3609,,YES,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,,,
93,CVS Pharmacy,3925 WALNUT ST,19104,(215) 222-0829,,YES,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,,,
94,CVS Pharmacy,4133 G ST,19124,(215) 831-9304,,YES,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,,,
95,CVS Pharmacy,401 SPRING GARDEN ST,19123,(215) 418-3065,,YES,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,,,
96,CVS Pharmacy,421 S 2ND ST,19147,(215) 627-3983,,,,,,,,,,,,YES,YES,YES,YES,YES,,
97,CVS Pharmacy,4314 LOCUST ST,19104,(215) 386-2093,,YES,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,,,
98,CVS Pharmacy,4400 CASTOR AVE,19124,(215) 537-2754,,,,,,,,,,,,,,YES,YES,,,
99,CVS Pharmacy,4849 MARKET ST,19139,(215) 474-4801,,,,,,,,,,,,,,YES,YES,,,
100,CVS Pharmacy,501 N 22ND ST,19130,(215) 587-0271,,,,,,,,,,,,,,YES,YES,YES,,
101,CVS Pharmacy,518 PORT ROYAL AVE,19128,(215) 483-6680,,YES,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,,,
102,CVS Pharmacy,5843 RISING SUN AVE,19120,(215) 728-4146,,,,,,,,,,,,,YES,YES,YES,YES,,
103,CVS Pharmacy,6150 N 5TH ST,19120,(215) 548-1110,,,,,,,,,,,,YES,YES,YES,YES,,,
104,CVS Pharmacy,6501 HARBISON AVE,19149,(215) 333-4300,,YES,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,,,
105,CVS Pharmacy,6344 STENTON AVE,19138,(215) 548-1902,,,,,,,,,,,,,,YES,YES,,,
106,CVS Pharmacy,6562 HAVERFORD AVE,19151,(215) 748-3432,,,,,,,,,,,,,,YES,YES,,,
107,CVS PHARMACY,6562 HAVEFORD AVE,19151,,,YES,YES,,,,,,YES,YES,YES,YES,YES,,,,,
108,CVS Pharmacy,6601 N BROAD ST,19126,(215) 924-1633,,,,,,,,,,,,,,YES,YES,,,
109,CVS PHARMACY,6900 LINDBERGH BLVD,19142,,,YES,,,,,,,YES,YES,YES,YES,YES,,,,,
110,CVS Pharmacy,6701 RIDGE AVE,19128,(215) 483-4179,,YES,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,,,
111,CVS Pharmacy,7065 LINCOLN DRIVE,19119,(215) 242-1869,,,,,,,,,,,,,,YES,YES,,,
112,CVS Pharmacy,7350 OXFORD AVE,19111,(215) 342-7700,,YES,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,,,
113,CVS PHARMACY,7400 BUSTLETON AVE,19152,,,YES,,,,,,,YES,YES,YES,YES,YES,,,,,
114,CVS Pharmacy,7520 CITY LINE AVE,19151,(215) 477-8401,,YES,,,,,,,YES,YES,YES,YES,YES,YES,YES,,,
115,CVS Pharmacy,7700 GERMANTOWN AVE,19118,(215) 242-0661,,,,,,,,,,,,,,YES,YES,,,
116,CVS Pharmacy,7720 BUSTLETON AVE,19152,(215) 342-1091,,,,,,,,,,,,,,YES,YES,,,
117,CVS Pharmacy,8525 FRANKFORD AVE,19136,(215) 331-9762,,YES,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,,,
118,CVS Pharmacy,922 N BROAD ST,19130,(215) 232-7681,,,,,,,,,,,,,YES,YES,YES,,,
119,CVS Pharmacy,9875 BUSTLETON AVE,19115,(215) 969-8750,,,,,,,,,,,,YES,YES,YES,YES,,,
120,Davis Pharmacy,4523 BALTIMORE AVE,19143,(215) 222-3349,,,YES,,,,,,,,,,,YES,YES,,,
121,Delaware Valley Veterans Home Pharmacy,2701 SOUTHAMPTON RD,19154,(215) 856-2751,,,,,,,,,,,,,,YES,,YES,,
122,DELCO PHARMACY,5604 N BROAD ST,19141,(215) 927-0224,,,,,,,,,,,,,,YES,YES,,,
123,Deluxe Pharmacy,8749 FRANKFORD AVE,19136,(215) 941-7689,,,,,,,,,,,,,,YES,YES,,,
124,Diamond Pharmacy,2118 W DIAMOND ST,19121,(215) 278-2284,,,,,,,,,,,,,,YES,YES,YES,,
125,DISCOVER PHARMACY,6730 BUSTLETON AVE,19149,(215) 332-1111,,,,,,,,,,,,,,YES,YES,,,
126,Dream Pharmacy,9808 BUSTLETON AVE,19115,(215) 904-5548,,,,,,,,,,,,,,YES,YES,,,
127,Doctors Pharmacy INC,17 S 20TH ST,19103,(215) 567-6870,,,,,,,,,,,,,,YES,YES,,,
128,EAST FALLS PHARMACY ,3500 SUNNYSIDE AVE,19129,(267) 297-5427,,,,,,,,,,,,,,YES,YES,,,
129,EAST LEHIGH HEALTH PHARMACY,163 E LEHIGH AVE,19125,(215) 425-2299,,,,,,,,,,,,,,YES,YES,YES,,
130,Einstein Apothecary,5501 OLD YORK RD,19141,(215) 456-7880,,,,,,,,,,,,,,YES,YES,,,
131,ELLIS PHARMACY,2441 W BROWN ST,19130,(215) 765-1903,,,,,,,,,,,,,,YES,YES,,,
132,Ellis Prescription Pharmacy,2441 BROWN ST,19130,(215) 765-1903,,,,,,,,,,,,,,YES,YES,,,
133,Esperanza Health Center,2940 N 5TH ST,19133,(215) 221-6633,,,,,,,,,,,,,,YES,YES,,,
134,Emacare Pharmacy,6433 RISING SUN AVE,19111,(215) 745-0202,,,,,,,,,,,,,,YES,YES,,,
135,E-Z PHARMACY,1701 COTTMAN AVE,19111,(215) 728-6300,,,,,,,,,,,,,,YES,YES,,,
136,FAIRMOUNT PHARMACY,1900 GREEN ST,19130,(215) 567-0364,,,YES,,,,,,YES,,YES,,,YES,YES,,,
137,FAIRDALE PHARMACY,4019 FAIRDALE RD,19154,(215) 632-2828,,,,,,,,,,,,,,YES,YES,,,
138,Family Farmacia,2916 N 5TH ST,19133,(267) 457-3222,,,,,,,,,,,,,,YES,YES,,,
139,Farmacia,1530 W MOYAMENSING AVE,19145,(215) 465-1318,,,,,,,,,,,,,,YES,YES,,,
140,Family Rite Pharmacy,2538 W ALLEGHENY AVE,19132,(215) 225-2550,,,,,,,,,,,,,,YES,YES,,,
141,First Class Pharmacy,7316 FRANKFORD AVE,19136,(215) 331-3361,,,YES,,,,,,,,YES,,,YES,YES,,,
142,Fishtown Pharmacy,1802 FRANKFORD AVE,19125,(267) 687-7562,,,YES,,,,,,,YES,YES,,,YES,YES,,,
143,Four Star Pharmacy,7028 ELMWOOD AVE,19142,(215) 365-1088,,,,,,,,,,,,,,YES,YES,,,
144,Four Star Pharmacy II,6542 LEBANON AVE,19151,(215) 877-2400,,,,,,,,,,,,,,YES,YES,,,
145,Fox Chase Cancer Center Pharmacy,333 COTTMAN AVE,19111,(215) 728-3178,,,,,,,,,,,,,,YES,YES,,,
146,Frankford Health Pharmacy,4943 FRANKFORD AVE,19124,(215) 533-9300,,,,,,,,,,,,,,YES,YES,,,
147,Frankford Ave Pharmacy,4531 FRANKFORD AVE,19124,(215) 904-8801,,,,,,,,,,,,,,YES,YES,,,
148,Friendly Pharmacy,2258 N FRONT ST,19133,(215) 425-5230,,,,,YES,,,,,YES,YES,,,YES,YES,,,
149,FRIENDSHIP PHARMACY,3300 COTTMAN AVE,19149,(215) 624-0440,,,,,,,,,,,,,,YES,YES,,,
150,FUTURE PHARMACY,9831 BUSTLETON AVE,19115,(215) 671-0980,,,,,,,,,,,,,,YES,YES,,,
151,Genoa A Qol Healthcare Company,2600 N AMERICAN ST,19133,(215) 426-1007,,,,,,,,,,,,,,YES,YES,,,
152,GETWELL PHARMACY,4511 N 5TH ST,19140,(215) 457-5555,YES,YES,,,,,,YES,,,YES,YES,YES,YES,YES,YES,,
153,GERMANTOWN PHARMACY INC. ,5100 GERMANTOWN AVE,19144,(215) 844-1319,,,,,,,,,,,,,,YES,YES,,,
154,Giant Pharmacy,2550 GRANT AVE,19114,(215)464-8140,,,,,,,,,,,,,,YES,YES,,,
155,GETWELL PHARMACY II,708 W GIRARD AVE,19123,(215) 629-5566,,,,,,,,,,,,,,YES,YES,,,
156,Girard Ave Pharmacy,1348 W GIRARD AVE,19123,(215) 236-1210,,,,,,,,,,,,,,YES,YES,,,
157,GLENDALE RX CENTER,7601 CASTOR AVE #100,19152,(215) 722-6200,,,,,,,,,,,,,,YES,YES,,,
158,Golden Health Pharmacy,5401 CEDAR AVE,19143,(267) 969-3111,,,,,,,,,,,,,,YES,YES,,,
159,Gold's Pharmacy,7543 HAVERFORD AVE,19151,(215) 879-4653,,,,,,,,,,,,,,YES,YES,,,
160,GOOD HEART PHARMACY,4835 WOODLAND AVE,19143,,,,,,,,,,,,YES,,,,,,,
161,GPHA Pharmacy,4500 FRANKFORD AVE,19124,(215) 743-4106,,,,,,,,,,,,,,YES,YES,,,
162,Greater Philadelphia Pharmacy,1401 S 31ST ST,19146,(215) 789-6931,,,,,,,,,,,,,,YES,YES,,,
163,Greater Philadelphia Pharmacy,432 N 6TH ST,19123,(267) 519-0271,,,,,,,,,,,,,,YES,YES,,,
164,Greater Philadelphia Pharmacy,5501 WOODLAND AVE,19143,(215) 729-3912,,,,,,,,,,,,,,YES,YES,,,
165,Hahnemann Apothecary,230 N BROAD ST,19102,(215) 762-8901,,,,,,,,,,,,,,YES,YES,,,
166,HAUSSMANN'S PHARMACY,536 W GIRARD AVE,19123,(215) 925-1008,,,,,,,,,,,,,,YES,YES,,,
167,Haverford Pharmacy,5601 VINE ST,19139,(267) 787-5210,,,,,,,,,,,,,,YES,YES,,,
168,Healing Pharmacy,109 W CHELTEN AVE,19144,(267) 297-6482,,,YES,,,,,,YES,YES,YES,,,YES,YES,YES,YES,
169,Healthaid Pharmacy,6604 FRANKFORD AVE,19135,(215) 941-8020,,,,,,,,,,,,,,YES,YES,,,
170,Hillrise Pharmacy,4240 N BROAD ST,19140,(215) 403-7300,,,YES,,,,,,YES,,YES,,,YES,YES,,,
171,HKS PHARMACY,3357 N FRONT ST,19140,(215) 634-2444,,,,,,,,,,,,,,YES,YES,YES,,
172,Holmesburg Pharmacy,8039 FRANKFORD AVE,19136,(215) 332-2400,,,,,,,,,,,,,,YES,YES,,,
173,Hospital of the University of Penn Pharmacy,3400 SPRUCE ST,19104,(215) 662-2920,,,,,,,,,,,,,,YES,YES,,,
174,Hopkins Pharmacy,7700 RIDGE AVE,19128,(215) 483-0900,,YES,,,,,,,,,,,,YES,YES,,,
175,Jana Pharmacy,413 E WYOMING AVE,19120,(215) 324-7040,,,,,,,,,,,,,,YES,YES,,,
176,JEANES HOSPITAL PHARMACY,7600 CENTRAL AVE,19111,,,,YES,,,,,,,,,,,,,,,
177,Jays Hunting Park Pharmacy,2001 W HUNTING PARK AVE,19140,(215) 226-0140,,,,,,,,,,,,,,YES,YES,,,
178,Jefferson Apothecary,111 S 11TH ST,19107,(215) 955-8845,,,,,,,,,,,,,,YES,YES,,,
179,Jefferson Pharmacy,833 CHESTNUT ST,19107,(215) 955-4400,,,,,,,,,,,,,,YES,YES,,,
180,JEFFERSON PHARMACY,908 WALNUT ST,19107,(215) 503-1135,,,,,,,,,,,,,,YES,YES,,,
181,JFK Medical Center Pharmacy,3001 WALNUT ST,19104,(215) 386-4708,,,,,,,,,,,,,,YES,YES,,,
182,JJ PHARMACY,728 RED LION RD,19115,(215) 698-8080,,,,,,,,,,,,,,YES,,YES,,
183,"JOMICI APOTHERCARY,INC",273 S 15TH ST,19102,(215) 735-6337,,,,,,,,,YES,,YES,,,YES,YES,,,
184,Just Here II Pharmacy,2859 N 22ND ST,19132,(215) 226-8530,,,,,,,,,,,,,,YES,YES,,,
185,Kewan Pharmacy,7157 OGONTZ AVE,19138,(215) 929-1354,,,,,,,,,,,,,,YES,YES,YES,,
186,King Pharmacy,2100 W CAMBRIA ST,19132,(215) 226-2000,,,,,,,,,,,,,,YES,YES,,,
187,KREWSTOWN PHARMACY,9313 KREWSTON RD,19115,(215) 673-7373,,,,,,,,,,,,,,YES,YES,,,
188,La Vida Discount Pharmacy,3204 KENSINGTON AVE,19134,(215) 427-1603,,,,,,,,,,,,,,YES,YES,,,
189,K-Mart Pharmacy,7101 ROOSEVELT BLVD,19149,(215) 338-9637,,,,,,,,,,,,,,YES,YES,,,
190,Lan Apothecary,907 S 11TH ST,19147,(215) 923-1469,,,,,,,,,,,,,,YES,YES,,,
191,LANCASTER AVENUE  PHARMACY,4127 LANCASTER AVE,19104,(215) 921-8778,,,,,,,,,,,,,,YES,YES,YES,,
192,LEHIGH PHARMACY,1006 W LEHIGH AVE,19133,(215) 225-7522,,,,,,,,,YES,YES,YES,,,YES,YES,,,
193,Liberty Pharmacy,1926 E WASHINGTON LN,19138,(215) 927-4467,,,,,,,,,,,,,,YES,YES,,,
194,Linsky Pharmacy,1701 S 2ND ST,19148,(215) 389-4148,,,,,,,,,,,,,,YES,YES,,,
195,Live Well Pharmacy,5805 RISING SUN AVE,19120,(215) 821-2883,,,,,,,,,,,,,,YES,YES,,,
196,LN Pharmacy,5929 LANSDOWNE AVE,19151,(215) 473-0750,,,,,,,,,,,,,,YES,YES,YES,,
197,"M.D. COMPANY, INC.",1641 N FRANKLIN ST,19122,(215) 763-1875,,,,,,,,,,,,,,YES,YES,,,
198,MAYFAIR DRUG STORE,7522 FRANKFORD AVE,19136,(215) 338-2626,,,,,,,,,,,,,,YES,YES,,,
199,McKEAN STREET PHARMACY,2745 MCKEAN ST,19145,(215) 334-4185,,,,,,,,,,,,,,YES,YES,,,
200,MD Pharmacy,1941 N FRANKLIN ST,19122,(215) 763-1875,,,,,,,,,,,,,,YES,YES,,,
201,Medcare Pharmacy,5325 OLD YORK RD,19141,(215) 844-4500,,,,,,,,,,,,,,YES,,YES,,
202,MEDICAL TOWER PHARMACY,255 S 17TH ST,19103,(215) 545-3525,,,,,,,,,,,,,,YES,YES,,,
203,Methodist Hospital Apothecary,2301 S BROAD ST,19148,(215) 952-9385,,,,,,,,,,,,,,YES,YES,,,
204,Metro Care Pharmacy,2018 COTTMAN AVE,19149,(215) 342-8400,,,,,,,,,,,,,,YES,YES,,,
205,MR Pharmacy,2510 N FRONT ST,19133,(215) 634-3939,,,,,,,,,,,YES,,,YES,YES,,,
206,Morrison Pharmacy,6113 RIDGE AVE,19128,(215) 482-2697,,,,,,,,,,,,,,YES,YES,,,
207,MY PHARMACY,20 N 40TH ST,19104,(215) 222-1288,,,,,,,,,,,,,,YES,YES,,,
208,N D Pharmacy,5012 OLD YORK RD,19141,(215) 324-8477,,,,,,,,,,,,,,YES,YES,,,
209,N PHILLY PHARMACY,118 DIAMOND ST,19122,(215) 763-7080,,,YES,,,,,,,,,,,YES,YES,,,
210,NEFF SURGICAL PHARMACY,222 N 9TH ST,19107,(215) 627-4567,,,,,,,,,,,,,,YES,YES,,,
211,Neighborhood Pharm,5701 CHESTNUT ST,19139,(215) 307-3609,,,,,,,,,,,,,,YES,YES,,,
212,Nexcare Pharm II Inc,3227 KENSINGTON AVE,19134,(215) 454-6112,,,,,,,,,,,,,,YES,YES,,,
213,Nexcare Pharmacy,2941 N 5TH ST,19133,(215) 278-2797,,,,,,,,,,,,,,YES,,,YES,
214,Nova Star Pharmacy,301 E GIRARD AVE,19125,(215) 739-3900,,,YES,,,,YES,,YES,,YES,YES,YES,YES,YES,,,
215,OAK LANE PHARMACY,6724 OLD YORK RD,19126,(215) 924-9929,,,,,,,,,,,,,,YES,YES,,,
